线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东78路,沪A35172D,2026-09-21T06:00:44+08:00,2026-09-21T07:00:44+08:00,是,是
浦东78路,沪A35186D,2026-09-21T06:20:28+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A35591D,2026-09-21T06:30:34+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A35616D,2026-09-21T06:51:05+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A36809D,2026-09-21T06:30:34+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A36930D,2026-09-21T07:30:35+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A51173D,2026-09-21T06:00:44+08:00,2026-09-21T07:40:28+08:00,是,是
浦东78路,沪A52736D,2026-09-21T06:00:44+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A53629D,2026-09-21T07:00:44+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A55150D,2026-09-21T06:00:44+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A55207D,2026-09-21T06:30:34+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A56123D,2026-09-21T06:51:05+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A56630D,2026-09-21T06:00:44+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A57022D,2026-09-21T06:51:05+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A57902D,2026-09-21T07:20:27+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A58633D,2026-09-21T07:00:44+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A59117D,2026-09-21T06:30:34+08:00,2026-09-21T07:50:29+08:00,是,是
浦东78路,沪A66391D,2026-09-21T06:20:28+08:00,2026-09-21T07:50:29+08:00,是,是
