线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A02126A,2026-09-18T07:51:28+08:00,2026-09-18T14:11:46+08:00,是,是
182路,沪A08953A,2026-09-18T06:31:46+08:00,2026-09-18T14:11:46+08:00,是,是
182路,沪A12050A,2026-09-18T07:21:36+08:00,2026-09-18T14:11:46+08:00,是,是
182路,沪A13735A,2026-09-18T07:11:23+08:00,2026-09-18T14:01:53+08:00,是,是
182路,沪A31073D,2026-09-18T06:02:01+08:00,2026-09-18T14:11:46+08:00,是,是
182路,沪A31963D,2026-09-18T06:02:01+08:00,2026-09-18T13:11:38+08:00,是,是
182路,沪A32298D,2026-09-18T06:02:01+08:00,2026-09-18T14:11:46+08:00,是,是
182路,沪A35717D,2026-09-18T06:02:01+08:00,2026-09-18T12:51:41+08:00,是,是
182路,沪A55712D,2026-09-18T06:11:54+08:00,2026-09-18T13:22:32+08:00,是,是
182路,沪A66513D,2026-09-18T06:02:01+08:00,2026-09-18T14:11:46+08:00,是,是
182路,沪A67353D,2026-09-18T06:02:01+08:00,2026-09-18T14:11:46+08:00,是,是
182路,沪A67983D,2026-09-18T06:42:05+08:00,2026-09-18T13:51:46+08:00,是,是
182路,沪A68397D,2026-09-18T06:02:01+08:00,2026-09-18T14:11:46+08:00,是,是
182路,沪A68870D,2026-09-18T06:02:01+08:00,2026-09-18T14:11:46+08:00,是,是
