线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A02126A,2026-09-20T07:21:39+08:00,2026-09-20T07:41:28+08:00,否,是
182路,沪A12050A,2026-09-20T06:21:48+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A13735A,2026-09-20T06:01:48+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A31073D,2026-09-20T06:01:48+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A32298D,2026-09-20T06:01:48+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A35717D,2026-09-20T06:11:38+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A55712D,2026-09-20T06:41:41+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A66513D,2026-09-20T06:01:48+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A67026D,2026-09-20T06:01:48+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A67353D,2026-09-20T06:01:48+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A67983D,2026-09-20T07:02:12+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A68397D,2026-09-20T06:01:48+08:00,2026-09-20T07:41:28+08:00,是,是
182路,沪A68870D,2026-09-20T06:01:48+08:00,2026-09-20T07:41:28+08:00,是,是
