线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A02126A,2026-09-21T06:21:37+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A08953A,2026-09-21T07:21:52+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A12050A,2026-09-21T07:51:37+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A13735A,2026-09-21T06:01:51+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A31073D,2026-09-21T06:01:51+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A32298D,2026-09-21T06:01:51+08:00,2026-09-21T13:51:37+08:00,是,是
182路,沪A32899D,2026-09-21T14:01:57+08:00,2026-09-21T16:31:51+08:00,是,是
182路,沪A35717D,2026-09-21T06:11:42+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A55712D,2026-09-21T06:41:47+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A66513D,2026-09-21T06:01:51+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A67026D,2026-09-21T06:01:51+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A67353D,2026-09-21T06:01:51+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A67983D,2026-09-21T07:02:06+08:00,2026-09-21T16:41:43+08:00,是,是
182路,沪A68397D,2026-09-21T06:01:51+08:00,2026-09-21T16:21:42+08:00,是,是
182路,沪A68870D,2026-09-21T06:01:51+08:00,2026-09-21T16:41:43+08:00,是,是
