线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02316D,2026-09-19T06:01:04+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A05218D,2026-09-19T06:21:06+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A09172D,2026-09-19T06:10:57+08:00,2026-09-19T11:40:58+08:00,是,是
浦东35路,沪A15330A,2026-09-19T06:01:04+08:00,2026-09-19T11:50:59+08:00,是,是
浦东35路,沪A15790A,2026-09-19T06:31:05+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A36993D,2026-09-19T07:20:54+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A37267D,2026-09-19T06:31:05+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A37823D,2026-09-19T07:01:15+08:00,2026-09-19T12:40:55+08:00,是,是
浦东35路,沪A52272D,2026-09-19T07:10:55+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A55102D,2026-09-19T07:20:54+08:00,2026-09-19T13:10:59+08:00,是,是
浦东35路,沪A57051D,2026-09-19T13:31:05+08:00,2026-09-19T13:41:01+08:00,否,是
浦东35路,沪A62217D,2026-09-19T06:01:04+08:00,2026-09-19T10:51:03+08:00,是,是
浦东35路,沪A62880D,2026-09-19T07:01:15+08:00,2026-09-19T13:01:11+08:00,是,是
浦东35路,沪A62981D,2026-09-19T06:01:04+08:00,2026-09-19T10:31:04+08:00,是,是
浦东35路,沪A65668D,2026-09-19T06:21:06+08:00,2026-09-19T12:01:11+08:00,是,是
浦东35路,沪A66883D,2026-09-19T06:01:04+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A67057D,2026-09-19T06:40:53+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A67672D,2026-09-19T06:40:53+08:00,2026-09-19T12:20:58+08:00,是,是
浦东35路,沪A67712D,2026-09-19T07:31:05+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A68261D,2026-09-19T06:40:53+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A68375D,2026-09-19T06:40:53+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A68895D,2026-09-19T06:01:04+08:00,2026-09-19T11:10:57+08:00,是,是
浦东35路,沪A70597D,2026-09-19T06:01:04+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A71572D,2026-09-19T06:01:04+08:00,2026-09-19T11:01:14+08:00,是,是
浦东35路,沪A72873D,2026-09-19T06:50:59+08:00,2026-09-19T12:10:59+08:00,是,是
浦东35路,沪A73927D,2026-09-19T06:01:04+08:00,2026-09-19T13:41:01+08:00,是,是
浦东35路,沪A79307D,2026-09-19T09:01:15+08:00,2026-09-19T13:20:55+08:00,是,是
浦东35路,沪A95621D,2026-09-19T06:01:04+08:00,2026-09-19T11:20:55+08:00,是,是
