线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
182路,,沪A68397D,0,川沙客运站,06:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:16,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,10:22,SHMAAS,,,,,06:05,计划发车,A,终点ETA确认/一致估算,是,3,3,81.0,10/14
182路,,沪A67983D,1,金杨路金口路,06:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:22,72分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,10:22,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,3,3,79.3,5/14
182路,,沪A68870D,0,川沙客运站,06:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:38,78分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,10:22,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,3,3,78.7,4/14
182路,,沪A13735A,1,金杨路金口路,06:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:56,81分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,10:22,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,3,3,79.3,5/14
182路,,沪A67026D,0,川沙客运站,06:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:55,80分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,10:22,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,3,3,77.3,2/14
182路,,沪A66513D,0,川沙客运站,06:48,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:06,78分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:11,10:22,SHMAAS,,,,,06:48,计划发车,A,终点ETA确认/一致估算,是,3,3,75.7,1/14
182路,,沪A67353D,1,金杨路金口路,06:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:27,92分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,10:22,SHMAAS,,,,,06:55,计划发车,A,终点ETA确认/一致估算,是,3,3,80.0,8/14
182路,,沪A12050A,0,川沙客运站,07:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:23,83分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:32,10:12,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,2,2,80.5,9/14
182路,,沪A35717D,0,川沙客运站,07:12,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:51,99分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,10:22,SHMAAS,,,,,07:12,计划发车,A,终点ETA确认/一致估算,是,3,3,82.0,11/14
182路,,沪A32298D,1,金杨路金口路,07:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:54,99分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,10:22,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,3,3,83.7,13/14
182路,,沪A31073D,0,川沙客运站,07:24,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:02,98分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,10:22,SHMAAS,,,,,07:24,计划发车,A,终点ETA确认/一致估算,是,2,2,85.5,14/14
182路,,沪A68397D,1,金杨路金口路,07:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:14,99分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,10:22,SHMAAS,,,,,07:35,计划发车,A,终点ETA确认/一致估算,是,3,3,81.0,10/14
182路,,沪A55712D,0,川沙客运站,07:36,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:13,97分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:02,10:22,SHMAAS,,,,,07:36,计划发车,A,终点ETA确认/一致估算,是,3,3,79.3,5/14
182路,,沪A02126A,0,川沙客运站,07:48,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:26,98分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:20,10:22,SHMAAS,,,,,07:48,计划发车,A,终点ETA确认/一致估算,是,2,2,82.0,11/14
182路,,沪A68870D,1,金杨路金口路,07:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:26,91分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:01,10:22,SHMAAS,,,,,07:55,计划发车,A,终点ETA确认/一致估算,是,3,3,78.7,4/14
