线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
182路,,沪A55712D,0,川沙客运站,06:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:17,72分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:02,16:01,SHMAAS,,,,,06:05,计划发车,A,终点ETA确认/一致估算,是,6,6,74.0,6/14
182路,,沪A68397D,1,金杨路金口路,06:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:23,73分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,15:41,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,5,5,72.6,3/14
182路,,沪A67983D,0,川沙客运站,06:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:43,83分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:02,16:01,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,6,5,78.6,12/14
182路,,沪A08953A,1,金杨路金口路,06:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:57,82分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,16:01,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,5,5,73.6,5/14
182路,,沪A67026D,0,川沙客运站,06:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:58,83分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,16:01,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,5,5,81.4,14/14
182路,,沪A13735A,0,川沙客运站,06:48,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:17,90分钟,,,SHMAAS末次终点ETA推算：08:11采样，终点ETA 6分钟,,06:11,16:01,SHMAAS,,,,,06:48,计划发车,B,末次终点ETA兜底,是,6,4,80.8,13/14
182路,,沪A66513D,1,金杨路金口路,06:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:22,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,16:01,SHMAAS,,,,,06:55,计划发车,A,终点ETA确认/一致估算,是,5,5,73.2,4/14
182路,,沪A68870D,0,川沙客运站,07:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:28,88分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:31,16:01,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,4,4,78.0,11/14
182路,,沪A67353D,0,川沙客运站,07:12,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:46,94分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:41,15:51,SHMAAS,,,,,07:12,计划发车,A,终点ETA确认/一致估算,是,5,5,74.8,7/14
182路,,沪A35717D,1,金杨路金口路,07:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:53,98分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,16:01,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,5,5,77.0,10/14
