临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A13735A,0,川沙客运站,06:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:16,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,12:21,SHMAAS,,,,,06:05,计划发车,A,终点ETA确认/一致估算,是,3,2,70.0,1/11
,沪A67353D,1,金杨路金口路,06:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:19,69分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,12:21,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,5,4,72.5,3/11
,沪A68870D,0,川沙客运站,06:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:29,69分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,11:51,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,4,4,70.0,1/11
,沪A32298D,1,金杨路金口路,06:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:45,70分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,12:21,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,4,3,76.7,10/11
,沪A67026D,0,川沙客运站,06:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:46,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,12:21,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,4,4,75.5,9/11
,沪A66513D,0,川沙客运站,06:50,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:59,69分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,12:21,SHMAAS,,,,,06:50,计划发车,A,终点ETA确认/一致估算,是,4,4,73.8,7/11
,沪A67983D,1,金杨路金口路,06:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:08,73分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,11:21,SHMAAS,,,,,06:55,计划发车,A,终点ETA确认/一致估算,是,3,3,80.7,11/11
,沪A31073D,0,川沙客运站,07:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:17,72分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,12:21,SHMAAS,,,,,07:05,计划发车,A,终点ETA确认/一致估算,是,4,3,73.3,5/11
,沪A68397D,1,金杨路金口路,07:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:23,68分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,12:21,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,4,3,73.7,6/11
,沪A35717D,0,川沙客运站,07:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:34,74分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,12:21,SHMAAS,,,,,07:20,计划发车,A,终点ETA确认/一致估算,是,4,3,72.7,4/11
,沪A13735A,1,金杨路金口路,07:30,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:39,69分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,12:21,SHMAAS,,,,,07:30,计划发车,A,终点ETA确认/一致估算,是,3,2,70.0,1/11
,沪A67353D,0,川沙客运站,07:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:49,74分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,12:21,SHMAAS,,,,,07:35,计划发车,A,终点ETA确认/一致估算,是,5,4,72.5,3/11
,沪A68870D,1,金杨路金口路,07:45,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:52,67分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,11:51,SHMAAS,,,,,07:45,计划发车,A,终点ETA确认/一致估算,是,4,4,70.0,1/11
