临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A59117D,0,港城路地铁站,06:20,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:36,76分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,12:20,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,4,4,81.2,3/15
,沪A35616D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:58,78分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,15:20,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,6,6,86.2,14/15
,沪A35591D,0,港城路地铁站,06:45,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:11,86分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,12:40,SHMAAS,,,,,06:45,计划发车,A,终点ETA确认/一致估算,是,4,4,84.8,11/15
,沪A58633D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:21,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,15:10,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,5,5,85.0,12/15
,沪A57022D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:34,84分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,15:20,SHMAAS,,,,,07:10,计划发车,A,终点ETA确认/一致估算,是,4,3,86.3,15/15
,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,07:20,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:42,82分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,15:20,SHMAAS,,,,,07:20,计划发车,A,终点ETA确认/一致估算,是,4,3,83.7,8/15
,沪A35172D,0,港城路地铁站,07:35,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:55,80分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,15:20,SHMAAS,,,,,07:35,计划发车,A,终点ETA确认/一致估算,是,5,5,83.0,7/15
,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,07:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:01,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,12:20,SHMAAS,,,,,07:40,计划发车,A,终点ETA确认/一致估算,是,4,4,81.2,3/15
,沪A36809D,0,港城路地铁站,07:55,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:20,85分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:50,15:20,SHMAAS,,,,,07:55,计划发车,A,终点ETA确认/一致估算,是,4,3,84.3,10/15
,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,08:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:21,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:10,15:20,SHMAAS,,,,,08:00,计划发车,A,终点ETA确认/一致估算,是,5,5,81.2,2/15
