车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A02126A,0,08:31,08:31,SHMAAS待发计划,09:49,78,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,07:51,金杨路枣庄路,09:45,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,1,3,70.3
沪A02126A,1,10:35,10:35,SHMAAS待发计划,11:42,67,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,07:51,川沙客运站,11:42,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,1,3,70.3
沪A02126A,0,12:20,12:20,SHMAAS待发计划,13:26,66,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,07:51,金杨路金口路,13:26,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,1,3,70.3
沪A02126A,1,13:50,13:50,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:51,,,,1,3,70.3
沪A12050A,0,07:48,07:48,SHMAAS待发计划,09:20,92,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,07:21,平度路长岛路,09:11,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,4,4,76.8
沪A12050A,1,09:50,09:50,SHMAAS待发计划,11:04,74,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,07:21,川沙客运站,11:04,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,4,4,76.8
沪A12050A,0,11:55,11:55,SHMAAS待发计划,13:07,72,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,07:21,金杨路枣庄路,13:04,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,4,4,76.8
沪A12050A,1,13:25,13:25,SHMAAS待发计划,14:34,69,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,07:21,,,末次终点ETA推算，约±15分钟,4,4,76.8
沪A31073D,0,07:24,07:24,SHMAAS待发计划,08:59,95,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,金杨路枣庄路,08:56,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,8,3,81
沪A31073D,1,09:22,09:22,SHMAAS待发计划,10:39,77,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,川环南路妙境路,10:38,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,8,3,81
