临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A35717D,0,川沙客运站,06:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:20,75分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,08:21,SHMAAS,,,,,06:05,计划发车,A,终点ETA确认/一致估算,是,2,1,75.0,1/14
,沪A32298D,1,金杨路金口路,06:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:26,76分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,08:21,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,2,2,83.0,5/14
,沪A55712D,0,川沙客运站,06:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:33,73分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,08:21,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,2,2,83.0,5/14
,沪A31073D,0,川沙客运站,06:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:57,82分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,08:21,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,2,2,81.5,4/14
,沪A68397D,1,金杨路金口路,06:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:52,77分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,08:21,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,2,2,81.0,3/14
,沪A67983D,0,川沙客运站,06:48,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:16,88分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,08:21,SHMAAS,,,,,06:48,计划发车,A,终点ETA确认/一致估算,是,2,2,89.5,11/14
,沪A68870D,1,金杨路金口路,06:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:20,85分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,08:21,SHMAAS,,,,,06:55,计划发车,A,终点ETA确认/一致估算,是,2,2,88.5,10/14
,沪A67026D,0,川沙客运站,07:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:22,82分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:21,08:21,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,2,2,85.0,7/14
,沪A13735A,0,川沙客运站,07:12,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:40,89分钟,,,SHMAAS末次终点ETA推算：08:21采样，终点ETA 19分钟,,06:41,08:21,SHMAAS,,,,,07:12,计划发车,B,末次终点ETA兜底,是,2,2,85.0,7/14
,沪A66513D,1,金杨路金口路,07:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:44,89分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,08:21,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,2,2,80.5,2/14
