临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A68397D,0,川沙客运站,06:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:16,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,08:22,SHMAAS,,,,,06:05,计划发车,A,终点ETA确认/一致估算,是,2,2,85.5,5/14
,沪A67983D,1,金杨路金口路,06:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:23,73分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,08:22,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,2,2,82.5,3/14
,沪A68870D,0,川沙客运站,06:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:32,72分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:02,08:22,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,2,2,81.5,1/14
,沪A13735A,1,金杨路金口路,06:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:56,81分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,08:22,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,2,2,87.5,8/14
,沪A67026D,0,川沙客运站,06:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:00,85分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,08:22,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,2,2,83.5,4/14
,沪A66513D,0,川沙客运站,06:48,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:11,83分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,08:22,SHMAAS,,,,,06:48,计划发车,A,终点ETA确认/一致估算,是,2,2,85.5,5/14
,沪A67353D,1,金杨路金口路,06:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:24,89分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,08:22,SHMAAS,,,,,06:55,计划发车,A,终点ETA确认/一致估算,是,2,2,91.5,12/14
,沪A08953A,0,川沙客运站,07:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:23,83分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:21,08:22,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,2,2,82.0,2/14
,沪A35717D,0,川沙客运站,07:12,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:43,91分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,08:22,SHMAAS,,,,,07:12,计划发车,A,终点ETA确认/一致估算,是,2,2,90.0,9/14
,沪A32298D,1,金杨路金口路,07:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:49,94分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,08:22,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,2,2,90.0,9/14
