临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A55712D,0,川沙客运站,06:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:17,72分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:02,19:31,SHMAAS,,,,,06:05,计划发车,A,终点ETA确认/一致估算,是,8,8,75.4,3/14
,沪A68397D,1,金杨路金口路,06:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:23,73分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:21,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,7,7,75.4,4/14
,沪A67983D,0,川沙客运站,06:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:43,83分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:02,19:31,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,8,8,79.0,10/14
,沪A08953A,1,金杨路金口路,06:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:57,82分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,19:31,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,7,6,75.7,5/14
,沪A67026D,0,川沙客运站,06:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:58,83分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,18:41,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,6,6,82.7,13/14
,沪A13735A,0,川沙客运站,06:48,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:17,90分钟,,,SHMAAS末次终点ETA推算：08:11采样，终点ETA 6分钟,,06:11,19:31,SHMAAS,,,,,06:48,计划发车,B,末次终点ETA兜底,是,8,6,82.5,12/14
,沪A66513D,1,金杨路金口路,06:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:22,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,19:31,SHMAAS,,,,,06:55,计划发车,A,终点ETA确认/一致估算,是,7,6,74.8,2/14
,沪A68870D,0,川沙客运站,07:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:28,88分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:31,17:41,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,4,4,82.8,14/14
,沪A67353D,0,川沙客运站,07:12,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:46,94分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:41,19:31,SHMAAS,,,,,07:12,计划发车,A,终点ETA确认/一致估算,是,7,6,77.2,8/14
,沪A35717D,1,金杨路金口路,07:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:53,98分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:31,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,7,6,79.3,11/14
,沪A31073D,0,川沙客运站,07:24,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:51,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,19:21,SHMAAS,,,,,07:24,计划发车,A,终点ETA确认/一致估算,是,6,6,76.8,6/14
,沪A55712D,1,金杨路金口路,07:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:03,88分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:31,SHMAAS,,,,,07:35,计划发车,A,终点ETA确认/一致估算,是,8,8,75.4,3/14
,沪A32298D,0,川沙客运站,07:36,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:14,98分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:02,19:31,SHMAAS,,,,,07:36,计划发车,A,终点ETA确认/一致估算,是,7,7,78.6,9/14
,沪A12050A,0,川沙客运站,07:48,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:23,95分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:21,19:31,SHMAAS,,,,,07:48,计划发车,A,终点ETA确认/一致估算,是,6,5,77.0,7/14
,沪A67983D,1,金杨路金口路,07:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:26,91分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:31,SHMAAS,,,,,07:55,计划发车,A,终点ETA确认/一致估算,是,8,8,79.0,10/14
,沪A68397D,0,川沙客运站,08:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:23,83分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:21,SHMAAS,,,,,08:00,计划发车,A,终点ETA确认/一致估算,是,7,7,75.4,4/14
,沪A08953A,0,川沙客运站,08:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:36,81分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:31,SHMAAS,,,,,08:15,计划发车,A,终点ETA确认/一致估算,是,7,6,75.7,5/14
,沪A67026D,1,金杨路金口路,08:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:44,89分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,18:41,SHMAAS,,,,,08:15,计划发车,A,终点ETA确认/一致估算,是,6,6,82.7,13/14
,沪A32597D,0,川沙客运站,08:31,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:42,71分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:51,19:31,SHMAAS,,,,,08:31,计划发车,A,终点ETA确认/一致估算,是,6,5,69.8,1/14
,沪A13735A,1,金杨路金口路,08:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:59,84分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,19:31,SHMAAS,,,,,08:35,计划发车,A,终点ETA确认/一致估算,是,8,6,82.5,12/14
,沪A66513D,0,川沙客运站,08:50,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:02,72分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:02,19:31,SHMAAS,,,,,08:50,计划发车,A,终点ETA确认/一致估算,是,7,6,74.8,2/14
,沪A68870D,1,金杨路金口路,08:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:14,79分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:31,17:41,SHMAAS,,,,,08:55,计划发车,A,终点ETA确认/一致估算,是,4,4,82.8,14/14
,沪A35717D,0,川沙客运站,09:10,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:22,72分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:02,19:31,SHMAAS,,,,,09:10,计划发车,A,终点ETA确认/一致估算,是,7,6,79.3,11/14
,沪A67353D,1,金杨路金口路,09:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:24,74分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,19:31,SHMAAS,,,,,09:10,计划发车,A,终点ETA确认/一致估算,是,7,6,77.2,8/14
,沪A31073D,1,金杨路金口路,09:22,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:33,71分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:02,19:21,SHMAAS,,,,,09:22,计划发车,A,终点ETA确认/一致估算,是,6,6,76.8,6/14
,沪A55712D,0,川沙客运站,09:30,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:42,72分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:02,19:31,SHMAAS,,,,,09:30,计划发车,A,终点ETA确认/一致估算,是,8,8,75.4,3/14
,沪A32298D,1,金杨路金口路,09:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:50,75分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:02,19:31,SHMAAS,,,,,09:35,计划发车,A,终点ETA确认/一致估算,是,7,7,78.6,9/14
,沪A12050A,1,金杨路金口路,09:50,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:01,71分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:21,19:31,SHMAAS,,,,,09:50,计划发车,A,终点ETA确认/一致估算,是,6,5,77.0,7/14
,沪A67983D,0,川沙客运站,09:50,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:03,73分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:31,SHMAAS,,,,,09:50,计划发车,A,终点ETA确认/一致估算,是,8,8,79.0,10/14
,沪A68397D,1,金杨路金口路,10:05,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:12,67分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:02,19:21,SHMAAS,,,,,10:05,计划发车,A,终点ETA确认/一致估算,是,7,7,75.4,4/14
,沪A67026D,0,川沙客运站,10:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:30,75分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,18:41,SHMAAS,,,,,10:15,计划发车,A,终点ETA确认/一致估算,是,6,6,82.7,13/14
,沪A08953A,1,金杨路金口路,10:20,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:24,64分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,19:31,SHMAAS,,,,,10:20,计划发车,A,终点ETA确认/一致估算,是,7,6,75.7,5/14
,沪A32597D,1,金杨路金口路,10:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:42,67分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:51,19:31,SHMAAS,,,,,10:35,计划发车,A,终点ETA确认/一致估算,是,6,5,69.8,1/14
,沪A13735A,0,川沙客运站,10:40,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:56,76分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:11,19:31,SHMAAS,,,,,10:40,计划发车,A,终点ETA确认/一致估算,是,8,6,82.5,12/14
,沪A66513D,1,金杨路金口路,10:50,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:56,66分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:31,SHMAAS,,,,,10:50,计划发车,A,终点ETA确认/一致估算,是,7,6,74.8,2/14
,沪A35717D,1,金杨路金口路,11:05,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:20,75分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,19:31,SHMAAS,,,,,11:05,计划发车,A,终点ETA确认/一致估算,是,7,6,79.3,11/14
,沪A67353D,0,川沙客运站,11:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:13,68分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:41,19:31,SHMAAS,,,,,11:05,计划发车,A,终点ETA确认/一致估算,是,7,6,77.2,8/14
,沪A55712D,1,金杨路金口路,11:20,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:26,66分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,19:31,SHMAAS,,,,,11:20,计划发车,A,终点ETA确认/一致估算,是,8,8,75.4,3/14
