临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A66883D,1,康恩路康浦路,06:10,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:42,152分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,20:11,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,4,4,143.2,20/31
,沪A68261D,0,东高路张杨北路,06:10,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:29,139分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,21:21,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,4,4,138.5,11/31
,沪A68895D,0,东高路张杨北路,06:26,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:59,153分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:01,19:21,SHMAAS,,,,,06:26,计划发车,A,终点ETA确认/一致估算,是,4,4,140.5,16/31
,沪A72873D,1,康恩路康浦路,06:31,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:11,160分钟,,,SHMAAS末次终点ETA推算：09:01采样，终点ETA 10分钟,,06:01,16:40,SHMAAS,,,,,06:31,计划发车,B,末次终点ETA兜底,是,4,4,137.5,10/31
,沪A11062A,0,东高路张杨北路,06:36,康恩路康浦路,疑似区间车,原方向在全程44%处后消失；随后反向物理轨迹由seq28推进至seq62，推进34站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:01,18:01,SHMAAS,丁香路锦绣路,07:41,,区间折返已由主分类器确认；折返点按重建物理位置seq29映射；现有采样不足以把折返发车时间控制在±10分钟,06:36,计划发车,D,待确认,否,3,0,,—/31
,沪A02316D,0,东高路张杨北路,06:41,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:34,173分钟,,,SHMAAS末次终点ETA推算：09:31采样，终点ETA 3分钟,,06:20,21:21,SHMAAS,,,,,06:41,计划发车,B,末次终点ETA兜底,是,4,4,144.8,23/31
,沪A70597D,1,康恩路康浦路,06:42,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:22,160分钟,,,SHMAAS末次终点ETA推算：09:11采样，终点ETA 11分钟,,06:01,20:21,SHMAAS,,,,,06:42,计划发车,B,末次终点ETA兜底,是,4,4,144.8,23/31
,沪A09172D,0,东高路张杨北路,06:54,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:42,169分钟,,,SHMAAS末次终点ETA推算：08:50采样，终点ETA 52分钟,,06:31,19:31,SHMAAS,,,,,06:54,计划发车,D,末次终点ETA兜底（误差可能>15分钟）,否,4,3,132.7,4/31
,沪A95621D,1,康恩路康浦路,06:54,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:36,162分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:20,17:01,SHMAAS,,,,,06:54,计划发车,A,终点ETA确认/一致估算,是,4,4,138.5,11/31
,沪A05218D,0,东高路张杨北路,07:06,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:34,148分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:40,20:51,SHMAAS,,,,,07:06,计划发车,A,终点ETA确认/一致估算,是,4,4,144.2,21/31
