临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A35172D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,07:45,96分钟,,,SHMAAS末次终点ETA推算：07:18采样，终点ETA 27分钟,,06:00,07:18,SHMAAS,,,,,06:10,计划发车,C,末次终点ETA兜底,是,2,2,89.5,6/15
,沪A58633D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,07:51,86分钟,,,07:10采样：该车到重点站五莲路凌河路 ETA 4分钟；叠加该车自身同类时段从该站到终点历史中位数37分钟，约±5分钟,5,06:00,07:18,SHMAAS,,,,,06:25,计划发车,B,同车重点站剩余时间,是,1,1,86.0,4/15
,沪A55207D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:17,98分钟,,,07:18采样：该车到重点站五莲路东陆路 ETA 27分钟；叠加该车自身同类时段从该站到终点历史中位数32分钟，约±5分钟,5,06:00,07:18,SHMAAS,,,,,06:40,计划发车,B,同车重点站剩余时间,是,1,1,98.0,11/15
,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:30,07:18,SHMAAS,,,,,06:40,计划发车,D,证据不足,否,1,0,,—/15
,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:15,85分钟,,,07:10采样：该车到重点站张杨北路博兴路 ETA 7分钟；叠加该车自身同类时段从该站到终点历史中位数58分钟，约±5分钟,5,06:30,07:18,SHMAAS,,,,,06:50,计划发车,B,同车重点站剩余时间,是,1,1,85.0,3/15
,沪A59117D,0,港城路地铁站,06:50,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:20,07:18,SHMAAS,,,,,06:50,计划发车,D,证据不足,否,1,0,,—/15
,沪A35616D,0,港城路地铁站,07:00,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:28,89分钟,,,07:10采样：该车到重点站花山路杨高北路 ETA 10分钟；叠加该车自身同类时段从该站到终点历史中位数68分钟，约±5分钟,5,06:30,07:18,SHMAAS,,,,,07:00,计划发车,B,同车重点站剩余时间,是,1,1,89.0,5/15
,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:35,96分钟,,,07:10采样：该车到重点站张杨北路博兴路 ETA 18分钟；叠加该车自身同类时段从该站到终点历史中位数67分钟，约±5分钟,5,06:30,07:18,SHMAAS,,,,,07:00,计划发车,B,同车重点站剩余时间,是,1,1,96.0,10/15
,沪A35591D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:40,90分钟,,,按该车自身同方向、同类时段历史全程时间中位数90分钟估算，约±5分钟,5,06:50,07:18,SHMAAS,,,,,07:10,计划发车,B,同车历史全程时间,是,1,1,90.0,7/15
,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,07:15,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:50,07:18,SHMAAS,,,,,07:15,计划发车,D,证据不足,否,1,0,,—/15
,沪A57022D,0,港城路地铁站,07:20,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:50,90分钟,,,按该车自身同方向、同类时段历史全程时间中位数90分钟估算，约±5分钟,5,07:00,07:18,SHMAAS,,,,,07:20,计划发车,B,同车历史全程时间,是,1,1,90.0,7/15
,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,07:30,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:51,81分钟,,,按该车自身同方向、同类时段历史全程时间中位数81分钟估算，约±8分钟,8,07:00,07:18,SHMAAS,,,,,07:30,计划发车,B,同车历史全程时间,是,1,1,81.0,2/15
,沪A66391D,0,港城路地铁站,07:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:11,101分钟,,,按该车自身同方向、同类时段历史全程时间中位数101分钟估算，约±6分钟,6,06:00,07:18,SHMAAS,,,,,07:30,计划发车,B,同车历史全程时间,是,1,1,101.0,12/15
,沪A53629D,0,港城路地铁站,07:42,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:12,90分钟,,,按该车自身同方向、同类时段历史全程时间中位数90分钟估算，约±8分钟,8,07:18,07:18,SHMAAS,,,,,07:42,计划发车,B,同车历史全程时间,是,1,1,90.0,7/15
,沪A52736D,1,锦带路迎春路（浦东新区办公中心）,07:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:03,78分钟,,,按该车自身同方向、同类时段历史全程时间中位数78分钟估算，约±5分钟,5,06:00,07:18,SHMAAS,,,,,07:45,计划发车,B,同车历史全程时间,是,1,1,78.0,1/15
,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,08:03,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:26,83分钟,,,按该车自身同方向、同类时段历史全程时间中位数83分钟估算，约±5分钟,5,06:00,07:18,SHMAAS,,,,,08:03,计划发车,B,同车历史全程时间,是,2,2,89.5,6/15
