临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A35172D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,07:50,101分钟,,,SHMAAS末次终点ETA推算：07:30采样，终点ETA 20分钟,,06:00,14:10,SHMAAS,,,,,06:10,计划发车,B,末次终点ETA兜底,是,3,3,94.0,14/18
,沪A58633D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:17,112分钟,,,SHMAAS末次终点ETA推算：08:10采样，终点ETA 7分钟,,06:00,14:20,SHMAAS,,,,,06:25,计划发车,B,末次终点ETA兜底,是,5,4,92.2,12/18
,沪A55207D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:35,116分钟,,,SHMAAS末次终点ETA推算：08:30采样，终点ETA 5分钟,,06:00,14:20,SHMAAS,,,,,06:40,计划发车,B,末次终点ETA兜底,是,5,4,89.5,9/18
,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:06,86分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,14:20,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,5,5,82.0,1/18
,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:21,91分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,10:40,SHMAAS,,,,,06:50,计划发车,A,终点ETA确认/一致估算,是,3,3,86.3,5/18
,沪A59117D,0,港城路地铁站,06:50,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:42,113分钟,,,SHMAAS末次终点ETA推算：08:30采样，终点ETA 12分钟,,06:20,10:20,SHMAAS,,,,,06:50,计划发车,B,末次终点ETA兜底,是,2,2,96.0,15/18
,沪A35616D,0,港城路地铁站,07:00,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:49,110分钟,,,同车下一次反向发车08:57，减去该车自身同类时段历史终点停站中位数8分钟，约±7分钟,7,06:30,14:20,SHMAAS,,,,,07:00,计划发车,B,同车反向发车反推,是,5,5,92.4,13/18
,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:31,91分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,14:10,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,5,5,89.2,7/18
,沪A35591D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:03,113分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:50,10:40,SHMAAS,,,,,07:10,计划发车,A,终点ETA确认/一致估算,是,2,2,97.0,17/18
,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,07:15,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:59,104分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:50,11:20,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,3,3,89.7,10/18
,沪A57022D,0,港城路地铁站,07:20,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:16,116分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:00,14:20,SHMAAS,,,,,07:20,计划发车,A,终点ETA确认/一致估算,是,5,4,96.2,16/18
,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,07:30,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:06,96分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:00,14:20,SHMAAS,,,,,07:30,计划发车,A,终点ETA确认/一致估算,是,5,5,84.2,2/18
,沪A66391D,0,港城路地铁站,07:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:16,106分钟,,,SHMAAS末次终点ETA推算：09:10采样，终点ETA 6分钟,,06:00,14:20,SHMAAS,,,,,07:30,计划发车,B,末次终点ETA兜底,是,4,4,89.2,8/18
,沪A53629D,0,港城路地铁站,07:42,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:16,95分钟,,,08:10采样：该车到重点站金高路万安街 ETA 16分钟；叠加该车自身同类时段从该站到终点历史中位数50分钟，约±5分钟,5,07:18,14:20,SHMAAS,,,,,07:42,计划发车,B,同车重点站剩余时间,是,2,2,85.0,3/18
,沪A52736D,1,锦带路迎春路（浦东新区办公中心）,07:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:23,98分钟,,,SHMAAS末次终点ETA推算：09:10采样，终点ETA 13分钟,,06:00,14:20,SHMAAS,,,,,07:45,计划发车,B,末次终点ETA兜底,是,4,4,85.8,4/18
,沪A55150D,0,港城路地铁站,07:54,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:34,100分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,11:10,SHMAAS,,,,,07:54,计划发车,A,终点ETA确认/一致估算,是,2,2,90.0,11/18
,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,08:03,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:39,96分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,14:10,SHMAAS,,,,,08:03,计划发车,A,终点ETA确认/一致估算,是,3,3,94.0,14/18
